evidence_id	source_id	start_seconds	end_seconds	topic_tags	evidence_level	review_status	promotion_target
pilot-011-lh_bili_season_bv1s1vkbseab-seg-001	LH_BILI_SEASON_BV1S1VKBSEAB	0		high_clear,power_framework,student_fit,match_transfer	content_model_candidate	pending_human_review	none_until_reviewed
pilot-012-lh_bili_fav_bv15pbrb6edk-seg-001	LH_BILI_FAV_BV15PBRB6EDK	0		smash,high_clear,rear_footwork,top_elbow,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-013-lh_bili_season_bv1bi4y1q7eh-seg-001	LH_BILI_SEASON_BV1BI4Y1Q7EH	0		smash,high_clear,top_elbow,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-014-lh_bili_season_bv1lb5qzxedz-seg-001	LH_BILI_SEASON_BV1LB5QZXEDZ	0		smash,high_clear,top_elbow,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-015-lh_bili_season_bv1xdlezqery-seg-001	LH_BILI_SEASON_BV1XDLEZQERY	0		smash,high_clear,top_elbow,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-016-lh_bili_season_bv1xmaazfe6e-seg-001	LH_BILI_SEASON_BV1XMAAZFE6E	0		smash,high_clear,top_elbow,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-017-lh_bili_season_bv1nwrrbtedy-seg-001	LH_BILI_SEASON_BV1NWRRBTEDY	0		high_clear,rear_footwork,top_elbow,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-018-lh_bili_season_bv1v6zabteue-seg-001	LH_BILI_SEASON_BV1V6ZABTEUE	0		smash,high_clear,top_elbow,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-019-lh_bili_season_bv1zbwezeelw-seg-001	LH_BILI_SEASON_BV1ZBWEZEELW	0		smash,high_clear,top_elbow,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-020-lh_bili_season_bv13a4y1q7cb-seg-001	LH_BILI_SEASON_BV13A4Y1Q7CB	0		high_clear,top_elbow,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-021-lh_bili_season_bv1nq4y157jt-seg-001	LH_BILI_SEASON_BV1NQ4Y157JT	0		smash,high_clear,rear_footwork,power_framework	needs_content_model_review	model_not_run	none_until_reviewed
pilot-022-lh_bili_season_bv12z4y1n7b4-seg-001	LH_BILI_SEASON_BV12Z4Y1N7B4	0		smash,high_clear,top_elbow,power_framework	needs_content_model_review	model_not_run	none_until_reviewed
pilot-023-lh_bili_season_bv1s642137xa-seg-001	LH_BILI_SEASON_BV1S642137XA	0		smash,high_clear,top_elbow,power_framework	needs_content_model_review	model_not_run	none_until_reviewed
pilot-024-lh_bili_season_bv1by411y7qh-seg-001	LH_BILI_SEASON_BV1BY411Y7QH	0		smash,high_clear,rear_footwork,power_framework	needs_content_model_review	model_not_run	none_until_reviewed
pilot-025-lh_bili_season_bv1cm42157us-seg-001	LH_BILI_SEASON_BV1CM42157US	0		smash,high_clear,hip_rotation,power_framework	content_model_candidate	pending_human_review	none_until_reviewed
pilot-026-lh_bili_season_bv1nf421x7jg-seg-001	LH_BILI_SEASON_BV1NF421X7JG	0		smash,high_clear,top_elbow,power_framework	content_model_candidate	pending_human_review	none_until_reviewed
pilot-027-lh_bili_season_bv1qz421u7c6-seg-001	LH_BILI_SEASON_BV1QZ421U7C6	0		smash,high_clear,rear_footwork,power_framework	content_model_candidate	pending_human_review	none_until_reviewed
pilot-028-lh_bili_season_bv1p4dgyre8b-seg-001	LH_BILI_SEASON_BV1P4DGYRE8B	0		smash,high_clear,internal_rotation,power_framework	content_model_candidate	pending_human_review	none_until_reviewed
pilot-029-lh_bili_season_bv1pcqpyjerm-seg-001	LH_BILI_SEASON_BV1PCQPYJERM	0		smash,high_clear,power_framework,student_fit	content_model_candidate	pending_human_review	none_until_reviewed
pilot-030-lh_bili_season_bv1bf6sytegz-seg-001	LH_BILI_SEASON_BV1BF6SYTEGZ	0		smash,high_clear,rear_footwork,power_framework	content_model_candidate	pending_human_review	none_until_reviewed
